time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-10T11:03:38.610Z,17.8553,-66.851,7,2.86,md,21,221,0.1231,0.12,pr,pr2020101015,2020-04-10T11:53:39.417Z,"14km SSE of Guanica, Puerto Rico",earthquake,0.49,0.37,0.33,17,reviewed,pr,pr
2020-04-10T10:55:00.880Z,17.9676,-66.7476,10,2.61,md,15,190,0.1318,0.17,pr,pr2020101013,2020-04-10T11:25:03.488Z,"4km SW of Tallaboa, Puerto Rico",earthquake,0.45,0.36,0.49,14,reviewed,pr,pr
2020-04-10T10:22:57.238Z,41.9535,142.2847,59.85,4.5,mb,,88,1.481,0.76,us,us70008t5u,2020-04-10T11:54:46.040Z,"42km S of Shizunai, Japan",earthquake,7.5,6.9,0.052,107,reviewed,us,us
2020-04-10T10:08:23.030Z,18.0546,-66.8203,17,2.55,md,14,85,0.0989,0.35,pr,pr2020101012,2020-04-10T10:56:17.799Z,"3km NE of Yauco, Puerto Rico",earthquake,0.75,0.9,0.27,13,reviewed,pr,pr
2020-04-10T09:57:58.689Z,44.1272,-115.0747,13.21,2.7,ml,,74,0.261,0.69,us,us70008t5f,2020-04-10T10:28:44.040Z,"69km ENE of Idaho City, Idaho",earthquake,1.8,9.5,0.049,54,reviewed,us,us
2020-04-10T09:55:00.117Z,5.9091,123.6473,542.9,4.3,mb,,50,2.239,0.9,us,us70008t5j,2020-04-10T10:59:24.040Z,"68km WSW of Palimbang, Philippines",earthquake,10.3,8.9,0.068,62,reviewed,us,us
2020-04-10T09:42:18.140Z,32.3595,-115.307,10.3,2.99,ml,33,109,0.05985,0.31,ci,ci39380472,2020-04-10T14:48:48.833Z,"11km W of Delta, B.C., MX",earthquake,0.43,0.95,0.2,60,reviewed,ci,ci
2020-04-10T09:27:47.080Z,17.922,-66.8968,12,2.66,md,18,214,0.0559,0.2,pr,pr2020101011,2020-04-10T09:46:29.693Z,"5km SSE of Guanica, Puerto Rico",earthquake,0.88,0.63,0.39,16,reviewed,pr,pr
2020-04-10T09:07:55.630Z,18.0348,-66.8188,17,2.58,md,17,110,0.0849,0.2,pr,pr2020101010,2020-04-10T09:36:01.860Z,"3km E of Yauco, Puerto Rico",earthquake,0.48,0.51,0.31,15,reviewed,pr,pr
2020-04-10T08:59:14.220Z,36.4055,-120.6281667,10.7,3.43,mw,129,46,0.2121,0.18,nc,nc73366700,2020-04-10T16:26:44.083Z,"4km ESE of New Idria, CA",earthquake,0.16,0.58,,4,reviewed,nc,nc
2020-04-10T08:56:37.190Z,18.0311,-66.8168,17,2.61,md,21,115,0.0838,0.19,pr,pr2020101009,2020-04-10T09:32:23.308Z,"2km WNW of Guayanilla, Puerto Rico",earthquake,0.45,0.47,0.4,20,reviewed,pr,pr
2020-04-10T07:54:14.233Z,61.64,-149.8306,18.6,3.2,ml,,,,0.77,ak,ak0204n5roxf,2020-04-10T18:12:45.042Z,"2km NE of Houston, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-04-10T07:21:30.550Z,32.3496667,-115.3141667,4.98,2.7,ml,31,110,0.07006,0.26,ci,ci39380312,2020-04-10T15:03:03.590Z,"11km W of Delta, B.C., MX",earthquake,0.44,1.16,0.148,51,reviewed,ci,ci
2020-04-10T06:46:16.418Z,-2.9375,146.6487,10,4.5,mb,,64,1.141,0.85,us,us70008t2d,2020-04-10T07:10:33.040Z,"122km SW of Lorengau, Papua New Guinea",earthquake,6.8,1.9,0.125,19,reviewed,us,us
2020-04-10T06:37:57.640Z,18.3313,-66.6021,125,3.16,md,20,99,0.1526,0.26,pr,pr2020101007,2020-04-10T18:35:45.635Z,"5km SW of Estancias de Florida, Puerto Rico",earthquake,1.67,0.68,0.24,18,reviewed,pr,pr
2020-04-10T05:49:11.230Z,32.3551667,-116.4251667,23.97,3.4,ml,55,73,0.2062,0.22,ci,ci39380224,2020-04-10T20:20:40.737Z,"28km S of Campo, CA",earthquake,0.32,0.72,0.162,255,reviewed,ci,ci
